"","TESTUA","AD.NG","AD.TRINKOA","AD.LAGUNTZAILEA","ZA.LUZ0","ZA.LUZ1","EZEZKOESALDIA"
"380","okertzen",1,0,0,1,0,0
"381","dira",0,0,1,0,1,0
"382","eta",0,0,0,1,0,1
"383","nahiz eta eskola utzi",0,0,0,0,0,1
"384","utzi",0,0,0,0,0,1
"385","ez",0,0,0,0,0,1
"386","duzu",0,0,1,1,0,1
"387","ez",0,0,0,0,0,1
"388","duzu",0,0,1,1,0,1
"389",NA,0,0,0,0,0,1
"390",NA,0,0,0,0,0,1
"391","berreskuratuko",1,0,0,0,0,1
"392","berreskuratuko bai",0,0,0,0,0,0
"393","horregatik nire ustez",0,0,0,0,0,0
"394","alkohola",0,0,0,0,0,0
"395","sartu",0,0,0,0,0,0
"396","behar",1,0,0,0,0,0
"397","dugu",0,0,1,1,0,0
"398","drogaren zerrendan",0,0,0,0,0,0
"399","ta gainera droga",0,0,0,0,0,0
"400",NA,0,0,0,0,0,0
"401",NA,0,0,0,0,0,0
"402","gogorretan",0,0,0,0,0,0
"403","eta",0,0,0,1,0,0
"404",NA,0,0,0,0,0,0
"405","ta debatu",0,0,0,1,0,0
"406","nahiz eta debekatu ez arren +",0,0,0,0,0,0
"407",NA,0,0,0,0,0,0
"408","bai? nahikoa da?",0,0,0,0,0,0
"409","nahi duzu?",0,0,0,0,0,0
"410","nire gaia",0,0,0,0,0,0
"411","da",0,1,0,0,0,0
"412","musika eta pirateria",0,0,0,0,0,0
"413","argi",0,0,0,0,0,0
"414","dago",0,1,0,0,0,0
"415","gure +",0,0,0,1,0,0
"416",NA,0,0,0,0,1,0
"417","+ gurasoren garaiatik hona",0,0,0,0,0,0
"418","ohiturak",0,0,0,0,0,0
"419","aldatu",0,0,0,1,0,0
"420","dira",0,0,1,0,0,0
"421","lehen",0,0,0,0,0,0
"422","gure gurasoek",0,0,0,0,0,0
"423","irratia",0,0,0,1,0,0
"424","entzuten",1,0,0,0,0,0
"425","dute",0,0,1,1,0,0
"426","musika",0,0,0,0,0,0
"427","eta",0,0,0,0,0,0
"428","edo",0,0,0,1,0,0
"429","herriko jaietan",0,0,0,0,1,0
"430","dantzatzen",1,0,0,1,0,0
"431",NA,0,0,0,0,0,0
"432",NA,0,0,0,1,0,0
"433","zutenean",0,0,1,0,0,0
"434","baina",0,0,0,1,0,0
"435","argi dago",0,0,0,0,1,0
"436","gero eta musika gehiago",0,0,0,0,0,0
"437","entzuten",1,0,0,1,0,0
"438","dugu",0,0,1,0,0,0
"439","bai",0,0,0,1,0,0
"440","kaletik",0,0,0,0,0,0
"441","ibiltzen",0,0,0,0,0,0
"442","emepetres batekin",0,0,0,0,0,0
"443","edo bai",0,0,0,1,0,0
"444","etxean",0,0,0,1,1,0
"445","gaudenean",0,1,0,0,0,0
"446","interneten",0,0,0,1,0,0
"447","interneten bidez edo",0,0,0,1,0,0
"448","edo",0,0,0,1,0,0
"449","beste aukera batzuk",0,0,0,0,0,0
"450","daukagu",0,1,0,0,0,0
"451","entzuteko",0,0,0,0,0,0
"452",NA,0,0,0,0,0,0
"453","internet",0,0,0,0,0,0
"454",NA,0,0,0,0,0,0
"455","asko",0,0,0,0,0,0
"456","lagundu",1,0,0,1,0,0
"457","lagundu",1,0,0,0,0,0
"458","du",0,0,1,0,0,0
"459","musika lortzeko",0,0,0,0,0,0
"460","gero eta",0,0,0,1,0,0
"461",NA,0,0,0,0,0,0
"462","abesti gehiago",0,0,0,0,0,0
"463","lortu",1,0,0,1,0,0
"464","entzun",1,0,0,0,0,0
"465","dezakegu",0,0,1,1,0,0
"466","nahiz eta",0,0,0,1,0,0
"467","hurrun",0,0,0,0,0,0
"468","egon",0,0,0,0,0,0
"469","era",0,0,0,1,0,0
"470","era berean",0,0,0,0,1,0
"471","gai honetan",0,0,0,0,0,0
"472","abeslari asko",0,0,0,0,0,0
"473","daude",0,1,0,0,0,0
"474","nire ustez",0,0,0,0,0,0
"475","gehienak",0,0,0,0,0,0
"476","dira",0,1,0,1,0,0
"477","txarrak",0,0,0,0,1,0
"478","baina",0,0,0,1,0,0
"479","diskografikak",0,0,0,1,1,0
"480","diskografikari",0,0,0,1,0,0
"481","diskografikei esker",0,0,0,0,0,0
"482","disko asko",0,0,0,1,0,0
"483","saltzen",1,0,0,1,1,0
"484","dituzte",0,0,1,0,0,0
"485","horregatik",0,0,0,0,0,0
"486","prezioak",0,0,0,0,0,0
"487","igotzen",1,0,0,1,0,0
"488","igo",1,0,0,1,0,0
"489",NA,0,0,0,0,0,0
"490","diskoren prezioak",0,0,0,0,0,0
"491","igotzen",1,0,0,1,0,0
"492",NA,0,0,0,0,0,0
"493","dute",0,0,1,0,0,0
"494","azkenean",0,0,0,0,0,0
"495","jende asko",0,0,0,0,0,0
"496","dago",0,1,0,1,0,0
"497","erdian",0,0,0,0,0,0
"498","produktoreak diskografikak eta ez dakit zenbat jende",0,0,0,1,0,0
"499","orduan",0,0,0,0,0,0
"500","horren ondorioz",0,0,0,0,0,0
"501",NA,0,0,0,0,0,0
"502","pirateria",0,0,0,0,0,0
"503","sortu",1,0,0,1,0,0
"504","sortu",1,0,0,0,1,0
"505","da",0,0,1,0,0,0
"506","eta",0,0,0,1,0,0
"507","aukera bat",0,0,0,0,0,0
"508","da",0,1,0,0,0,0
"509","musika lortzeko",0,0,0,1,0,0
"510","merke",0,0,0,1,0,0
"511","merkeago",0,0,0,0,0,0
"512","nire gaia",0,0,0,0,0,0
"513","da",0,1,0,1,0,0
"514","hiltzea",0,0,0,0,0,0
"515","argi",0,0,0,0,0,0
"516","dago",0,1,0,0,0,0
"517","denok",0,0,0,0,0,0
